Lifestage,Life_State,Short_Name,SP70,BORCS7,CG30148,Obp57d,Cpr57A
embryos 0-2 hr after egg laying,1,emb_0-2,7.25,6.367,0,0.08,3.654
embryos 2-4 hr after egg laying,2,emb_2-4,6.6,5.867,0,0.48,3.617
embryos 4-6 hr after egg laying,3,emb_4-6,13.375,11.833,0,1.34,7.052
embryos 6-8 hr after egg laying,4,emb_6-8,8.2,7.167,0,0.9,4.842
embryos 8-10 hr after egg laying,5,emb_8-10,9.825,8.933,0,0.66,5.94
embryos 10-12 hr after egg laying,6,emb_10-12,13.25,11.967,0.2,1.58,7.854
embryos 12-14 hr after egg laying,7,emb_12-14,13.75,12.567,1,1.4,8.579
embryos 14-16 hr after egg laying,8,emb_14-16,5.35,4.133,1.8,1.92,4.821
embryos 16-18 hr after egg laying,9,emb_16-18,8.425,7.567,1.55,10.6,6.635
embryos 18-20 hr after egg laying,10,emb_18-20,16.95,12.867,0.4,19.48,10.054
embryos 20-22 hr after egg laying,11,emb_20-22,13,8.6,0.25,18.38,8.213
embryos 22-24 hr after egg laying,12,emb_22-24,18.55,14.367,0.95,20.8,11.467
L1 stage larvae,13,L1,2.65,2.2,3.3,20.12,5.288
L2 stage larvae,14,L2,2.925,2.733,12.4,17.08,8.015
L3 stage larvae 12 hr post-molt,15,L3-post_molt,0.725,0.633,9.15,21.52,6.377
L3 stage larvae dark blue gut PS1-2,16,L3-PS1-2,1.25,1.133,16.4,23.34,8.696
L3 stage larvae light blue gut PS3-6,17,L3-PS3-6,2.4,2.3,12.65,26.62,8.588
L3 stage larvae clear gut PS 7-9,18,L3-PS7-9,5.15,4.867,8.25,27,9.067
white prepupae WPP,19,WPP,6.25,5.767,3,4.6,8.504
WPP + 12 hr,20,WPP+12h,24.125,17.067,1.2,17.76,15.598
WPP + 24 hr,21,WPP+24h,7.2,5.867,1.9,11.12,8.992
pupae WPP + 2 days,22,WPP+2d,9,7.767,4.7,8.28,10.867
pupae WPP + 3 days,23,WPP+3d,7.05,6,11.25,22.62,11.825
pupae WPP + 4 days,24,WPP+4d,5.85,4.5,8.2,20.9,10.638
adult male eclosion + 1 day,25,Male+1,3.175,2.8,6.55,11.02,9.381
adult male eclosion + 5 days,26,Male+5,4.075,3.767,2.35,9.28,9.048
adult male eclosion + 30 days,27,Male+30,4.225,3.4,1.35,11.04,8.994
adult female eclosion + 1 day,28,Female+1,4.075,3.267,5.3,10.86,10.16
adult female eclosion + 5 days,29,Female+5,3.75,3.533,0.6,1.96,9.221
adult female eclosion + 30 days,30,Female+30,4.175,3.867,0.85,1.78,9.723
