genome	treatment	N	count	sd	se	ci	fbgn	gene_name
introgression	control	19	767.1608145037735	374.4190009193286	85.89760987099031	180.4641817819897	FBgn0034518	SP70
introgression	heatshock	20	434.2247543493477	177.70972077405943	39.737101591330344	83.17070948312112	FBgn0034518	SP70
SK	control	3	882.3181568438852	335.8090687791094	193.87945625593636	834.195971701946	FBgn0034518	SP70
SK	heatshock	3	432.5314907116725	76.63733469677194	44.24658581715673	190.3776932482832	FBgn0034518	SP70
VT8	control	3	549.35297974538355	202.66988033304406	117.01150996691224	503.45989277124136	FBgn0034518	SP70
VT8	heatshock	3	849.8437928960865	229.33699213049144	132.40777414167832	569.7046708507424	FBgn0034518	SP70
introgression	control	19	120.07097656452683	142.57357278884234	32.70862083190022	68.71826241162634	FBgn0034517	Cpr57A
introgression	heatshock	20	261.62548740890793	242.23200608494142	54.164723193207166	113.36806854375024	FBgn0034517	Cpr57A
SK	control	3	384.88719316666874	289.59059259262136	167.1952065881332	719.3829120274565	FBgn0034517	Cpr57A
SK	heatshock	3	69.71754600611413	46.31124256536652	26.737808361620417	115.04350413464407	FBgn0034517	Cpr57A
VT8	control	3	33.75498287900648	34.50485101075436	19.92138501940696	85.71480163414138	FBgn0034517	Cpr57A
VT8	heatshock	3	177.55020295067834	128.4052607197183	74.13481184189345	318.9763505409856	FBgn0034517	Cpr57A
introgression	control	19	31.110399179794285	40.8497435245798	9.371573889115702	19.6889461353906	FBgn0003463	sog
introgression	heatshock	20	48.30697528517451	58.51967755997621	13.085397704547582	27.38805215711736	FBgn0003463	sog
SK	control	3	2.5335211747187376	3.5221619928800023	2.033521174718738	8.74953543340691	FBgn0003463	sog
SK	heatshock	3	20.136177561880846	19.67448390885107	11.359068580942127	48.87412743720199	FBgn0003463	sog
VT8	control	3	56.83938853302805	55.257262800437935	31.90279555251474	137.26665037066653	FBgn0003463	sog
VT8	heatshock	3	6.176749335948685	2.8129908626086952	1.6240810317550878	6.987856684615351	FBgn0003463	sog
