#GO_term: the GO term
#Avg_gene_number: on the average this number of genes are found per simulation for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#SNP_num: using the candidate SNPs this number of genes was found for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#p-value: p-value (uncorrected for multiple testing)
#FDR: FDR (p-value after adjustment for multiple testing)
#Obs_gene_number: the number of genes (uniq) found for the given GO category
#Exp_gene_number: the number of genes that could at most be found for the given GO category, i.e.: genes of the given GO category that have an corresponding entry in the annotation file and contain at least one SNP
#Total_GO_genes: total number of genes for the given GO category in the GO association file
#GO_id: description of the given GO term
#Genes: comma separated list of the gene_ids found for the given GO category
GO_term	Avg_gene_number	SNP_num	p-value	FDR	Obs_gene_number	Exp_gene_number	Total_GO_genes	GO_id	Genes
GO:0005549	0.074	3	0.00007	0.08051	3	108	112	odorant binding	"fbgn0034470,fbgn0034474,fbgn0043536"
GO:0007608	0.324	3	0.0029	0.988989091	3	79	80	sensory perception of smell	"fbgn0034470,fbgn0034474,fbgn0043536"
GO:0008203	0.003	1	0.00333	0.988989091	1	6	6	cholesterol metabolic process	fbgn0034491
GO:0030544	0.004	1	0.00352	0.988989091	1	5	5	Hsp70 protein binding	fbgn0034454
GO:0007294	0.109	2	0.00505	0.988989091	2	28	28	germarium-derived oocyte fate determination	"fbgn0260934,fbgn0263391"
GO:0051879	0.006	1	0.00582	0.988989091	1	8	8	Hsp90 protein binding	fbgn0034454
GO:0044421	1.713	6	0.00624	0.988989091	6	665	708	extracellular region part	"fbgn0260934,fbgn0034470,fbgn0034474,fbgn0034512,fbgn0043536,fbgn0263391"
GO:0018279	0.006	1	0.00632	0.988989091	1	8	9	protein N-linked glycosylation via asparagine	fbgn0034521
GO:0018196	0.006	1	0.00632	0.988989091	1	8	9	peptidyl-asparagine modification	fbgn0034521
GO:0004652	0.007	1	0.00663	0.988989091	1	6	6	polynucleotide adenylyltransferase activity	fbgn0015949
GO:0045172	0.132	2	0.0068	0.988989091	2	19	19	germline ring canal	"fbgn0260934,fbgn0263391"
GO:0030991	0.008	1	0.008	1	1	5	5	intraciliary transport particle A	fbgn0034452
GO:0045171	0.145	2	0.00822	1	2	22	23	intercellular bridge	"fbgn0260934,fbgn0263391"
GO:0030716	0.161	2	0.01013	1	2	35	35	oocyte fate determination	"fbgn0260934,fbgn0263391"
GO:0070566	0.011	1	0.01108	1	1	15	16	adenylyltransferase activity	fbgn0015949
