#GO_term: the GO term
#Avg_gene_number: on the average this number of genes are found per simulation for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#SNP_num: using the candidate SNPs this number of genes was found for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#p-value: p-value (uncorrected for multiple testing)
#FDR: FDR (p-value after adjustment for multiple testing)
#Obs_gene_number: the number of genes (uniq) found for the given GO category
#Exp_gene_number: the number of genes that could at most be found for the given GO category, i.e.: genes of the given GO category that have an corresponding entry in the annotation file and contain at least one SNP
#Total_GO_genes: total number of genes for the given GO category in the GO association file
#GO_id: description of the given GO term
#Genes: comma separated list of the gene_ids found for the given GO category
GO_term	Avg_gene_number	SNP_num	p-value	FDR	Obs_gene_number	Exp_gene_number	Total_GO_genes	GO_id	Genes
GO:0005719	0.008	2	0.00001	0.013	2	11	12	nuclear euchromatin	"fbgn0002914,fbgn0065035"
GO:0000791	0.019	2	0.00015	0.06202	2	20	22	euchromatin	"fbgn0002914,fbgn0065035"
GO:0016876	0.026	2	0.00034	0.06202	2	39	41	"ligase activity, forming aminoacyl-tRNA and related compounds"	"fbgn0030660,fbgn0027093"
GO:0016875	0.026	2	0.00034	0.06202	2	39	41	"ligase activity, forming carbon-oxygen bonds"	"fbgn0030660,fbgn0027093"
GO:0006418	0.027	2	0.00034	0.06202	2	41	43	tRNA aminoacylation for protein translation	"fbgn0030660,fbgn0027093"
GO:0004812	0.026	2	0.00034	0.06202	2	39	41	aminoacyl-tRNA ligase activity	"fbgn0030660,fbgn0027093"
GO:0043039	0.027	2	0.00034	0.06202	2	41	43	tRNA aminoacylation	"fbgn0030660,fbgn0027093"
GO:0043038	0.029	2	0.00042	0.0670025	2	42	44	amino acid activation	"fbgn0030660,fbgn0027093"
GO:0007099	0.036	2	0.00052	0.068268	2	24	24	centriole replication	"fbgn0002914,fbgn0027329"
GO:0098534	0.037	2	0.00054	0.068268	2	25	25	centriole assembly	"fbgn0002914,fbgn0027329"
GO:0006139	1.821	7	0.00182	0.195864167	7	1311	1457	nucleobase-containing compound metabolic process	"fbgn0002914,fbgn0030687,fbgn0030660,fbgn0027093,fbgn0065035,fbgn0014391,fbgn0022710"
GO:0030509	0.071	2	0.00184	0.195864167	2	12	14	BMP signaling pathway	"fbgn0030706,fbgn0003463"
GO:0006399	0.071	2	0.00218	0.216186923	2	120	127	tRNA metabolic process	"fbgn0030660,fbgn0027093"
GO:0046483	1.893	7	0.00234	0.222885	7	1388	1538	heterocycle metabolic process	"fbgn0002914,fbgn0030687,fbgn0030660,fbgn0027093,fbgn0065035,fbgn0014391,fbgn0022710"
GO:0000275	0.004	1	0.00351	0.280008947	1	6	7	"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)"	fbgn0014391
GO:0045261	0.004	1	0.00351	0.280008947	1	6	7	"proton-transporting ATP synthase complex, catalytic core F(1)"	fbgn0014391
GO:0006725	2.066	7	0.00354	0.280008947	7	1438	1592	cellular aromatic compound metabolic process	"fbgn0002914,fbgn0030687,fbgn0030660,fbgn0027093,fbgn0065035,fbgn0014391,fbgn0022710"
GO:0006807	2.664	8	0.00359	0.280008947	8	2003	2562	nitrogen compound metabolic process	"fbgn0002914,fbgn0030687,fbgn0030662,fbgn0030660,fbgn0027093,fbgn0065035,fbgn0014391,fbgn0022710"
GO:0034654	0.629	4	0.00368	0.280008947	4	350	403	nucleobase-containing compound biosynthetic process	"fbgn0002914,fbgn0030687,fbgn0014391,fbgn0022710"
GO:0017101	0.004	1	0.00435	0.30042125	1	8	10	aminoacyl-tRNA synthetase multienzyme complex	fbgn0027093
GO:0051297	0.104	2	0.00445	0.30042125	2	70	71	centrosome organization	"fbgn0002914,fbgn0027329"
GO:1901360	2.148	7	0.00462	0.30042125	7	1493	1651	organic cyclic compound metabolic process	"fbgn0002914,fbgn0030687,fbgn0030660,fbgn0027093,fbgn0065035,fbgn0014391,fbgn0022710"
GO:0005832	0.005	1	0.00469	0.30042125	1	8	10	chaperonin-containing T-complex	fbgn0027329
GO:0034641	2.174	7	0.00479	0.30042125	7	1716	2250	cellular nitrogen compound metabolic process	"fbgn0002914,fbgn0030687,fbgn0030660,fbgn0027093,fbgn0065035,fbgn0014391,fbgn0022710"
GO:0018130	0.686	4	0.00514	0.31685	4	418	474	heterocycle biosynthetic process	"fbgn0002914,fbgn0030687,fbgn0014391,fbgn0022710"
GO:0031023	0.114	2	0.00542	0.320448462	2	76	77	microtubule organizing center organization	"fbgn0002914,fbgn0027329"
GO:0016874	0.116	2	0.00607	0.320876774	2	108	116	ligase activity	"fbgn0030660,fbgn0027093"
GO:0031966	0.105	2	0.00607	0.320876774	2	130	139	mitochondrial membrane	"fbgn0014391,fbgn0003392"
GO:0000790	0.125	2	0.00612	0.320876774	2	66	96	nuclear chromatin	"fbgn0002914,fbgn0065035"
GO:0019438	0.724	4	0.00613	0.320876774	4	418	476	aromatic compound biosynthetic process	"fbgn0002914,fbgn0030687,fbgn0014391,fbgn0022710"
GO:0006611	0.006	1	0.00627	0.320876774	1	11	11	protein export from nucleus	fbgn0053180
GO:0036465	0.007	1	0.0067	0.33477875	1	5	5	synaptic vesicle recycling	fbgn0003392
GO:0044281	1.261	5	0.00735	0.346783947	5	729	756	small molecule metabolic process	"fbgn0030662,fbgn0030660,fbgn0027093,fbgn0014391,fbgn0022710"
GO:0005666	0.007	1	0.00736	0.346783947	1	18	19	DNA-directed RNA polymerase III complex	fbgn0030687
GO:0090304	1.28	5	0.00758	0.346783947	5	1056	1193	nucleic acid metabolic process	"fbgn0002914,fbgn0030687,fbgn0030660,fbgn0027093,fbgn0065035"
GO:0031523	0.008	1	0.00777	0.346783947	1	12	12	Myb complex	fbgn0002914
GO:0007293	0.135	2	0.00782	0.346783947	2	56	58	germarium-derived egg chamber formation	"fbgn0003345,fbgn0003392"
GO:1901362	0.783	4	0.00801	0.346783947	4	459	519	organic cyclic compound biosynthetic process	"fbgn0002914,fbgn0030687,fbgn0014391,fbgn0022710"
GO:0004035	0.009	1	0.00896	0.363558372	1	17	17	alkaline phosphatase activity	fbgn0030661
GO:0008198	0.009	1	0.00898	0.363558372	1	8	8	ferrous iron binding	fbgn0065035
GO:0044271	0.823	4	0.00914	0.363558372	4	627	1062	cellular nitrogen compound biosynthetic process	"fbgn0002914,fbgn0030687,fbgn0014391,fbgn0022710"
GO:0030206	0.009	1	0.00937	0.363558372	1	7	8	chondroitin sulfate biosynthetic process	fbgn0030662
GO:1901137	0.439	3	0.00947	0.363558372	3	199	209	carbohydrate derivative biosynthetic process	"fbgn0030662,fbgn0014391,fbgn0022710"
GO:1901564	1.387	5	0.01125	0.421653864	5	968	1394	organonitrogen compound metabolic process	"fbgn0030662,fbgn0030660,fbgn0027093,fbgn0014391,fbgn0022710"
GO:0044710	3.23	8	0.01179	0.423393735	8	2074	2226	single-organism metabolic process	"fbgn0002914,fbgn0030662,fbgn0030660,fbgn0027093,fbgn0065035,fbgn0014391,fbgn0022710,fbgn0003392"
GO:0072583	0.012	1	0.01227	0.423393735	1	6	6	clathrin-mediated endocytosis	fbgn0003392
GO:0008536	0.013	1	0.01267	0.423393735	1	19	20	Ran GTPase binding	fbgn0053180
GO:0044454	0.177	2	0.01305	0.423393735	2	147	246	nuclear chromosome part	"fbgn0002914,fbgn0065035"
GO:0006520	0.175	2	0.0133	0.423393735	2	170	178	cellular amino acid metabolic process	"fbgn0030660,fbgn0027093"
GO:0000278	0.524	3	0.01348	0.423393735	3	163	191	mitotic cell cycle	"fbgn0002914,fbgn0027329,fbgn0003392"
GO:0010470	0.014	1	0.01427	0.423393735	1	5	5	regulation of gastrulation	fbgn0001105
GO:0034334	0.015	1	0.01472	0.423393735	1	9	10	adherens junction maintenance	fbgn0003392
GO:0032991	4.913	10	0.01504	0.423393735	10	2559	3024	macromolecular complex	"fbgn0002914,fbgn0001105,fbgn0030687,fbgn0027093,fbgn0003345,fbgn0065035,fbgn0014391,fbgn0022710,fbgn0027329,fbgn0003392"
GO:0007049	0.548	3	0.01526	0.423393735	3	186	216	cell cycle	"fbgn0002914,fbgn0027329,fbgn0003392"
GO:0000266	0.015	1	0.0153	0.423393735	1	8	9	mitochondrial fission	fbgn0003392
GO:0016070	0.984	4	0.01567	0.423393735	4	817	915	RNA metabolic process	"fbgn0030687,fbgn0030660,fbgn0027093,fbgn0065035"
GO:0044249	1.505	5	0.01594	0.423393735	5	991	1451	cellular biosynthetic process	"fbgn0002914,fbgn0030687,fbgn0030662,fbgn0014391,fbgn0022710"
GO:0035271	0.016	1	0.01599	0.423393735	1	5	5	ring gland development	fbgn0003463
GO:0043436	0.546	3	0.0161	0.423393735	3	383	398	oxoacid metabolic process	"fbgn0030662,fbgn0030660,fbgn0027093"
GO:0006082	0.547	3	0.01614	0.423393735	3	385	400	organic acid metabolic process	"fbgn0030662,fbgn0030660,fbgn0027093"
GO:0043679	0.016	1	0.01629	0.423393735	1	8	8	axon terminus	fbgn0030706
GO:0032580	0.017	1	0.01653	0.423393735	1	6	6	Golgi cisterna membrane	fbgn0030662
GO:0005643	0.017	1	0.01694	0.423393735	1	32	35	nuclear pore	fbgn0053180
GO:0044306	0.017	1	0.01704	0.423393735	1	9	9	neuron projection terminus	fbgn0030706
GO:0033178	0.017	1	0.01707	0.423393735	1	20	21	"proton-transporting two-sector ATPase complex, catalytic domain"	fbgn0014391
GO:0055029	0.018	1	0.01766	0.423393735	1	37	38	nuclear DNA-directed RNA polymerase complex	fbgn0030687
GO:1902410	0.018	1	0.01802	0.423393735	1	6	6	mitotic cytokinetic process	fbgn0003392
GO:0044183	0.019	1	0.01836	0.423393735	1	25	31	protein binding involved in protein folding	fbgn0027329
GO:0051258	0.019	1	0.01838	0.423393735	1	16	16	protein polymerization	fbgn0003392
