#GO_term: the GO term
#Avg_gene_number: on the average this number of genes are found per simulation for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#SNP_num: using the candidate SNPs this number of genes was found for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#p-value: p-value (uncorrected for multiple testing)
#FDR: FDR (p-value after adjustment for multiple testing)
#Obs_gene_number: the number of genes (uniq) found for the given GO category
#Exp_gene_number: the number of genes that could at most be found for the given GO category, i.e.: genes of the given GO category that have an corresponding entry in the annotation file and contain at least one SNP
#Total_GO_genes: total number of genes for the given GO category in the GO association file
#GO_id: description of the given GO term
#Genes: comma separated list of the gene_ids found for the given GO category
GO_term	Avg_gene_number	SNP_num	p-value	FDR	Obs_gene_number	Exp_gene_number	Total_GO_genes	GO_id	Genes
GO:0005549	0.305	5	0.00001	0.01626	5	108	112	odorant binding	"fbgn0039684,fbgn0030715,fbgn0034470,fbgn0034474,fbgn0043536"
GO:0016876	0.133	3	0.00032	0.09569	3	39	41	"ligase activity, forming aminoacyl-tRNA and related compounds"	"fbgn0030660,fbgn0027093,fbgn0027083"
GO:0016875	0.133	3	0.00032	0.09569	3	39	41	"ligase activity, forming carbon-oxygen bonds"	"fbgn0030660,fbgn0027093,fbgn0027083"
GO:0004812	0.133	3	0.00032	0.09569	3	39	41	aminoacyl-tRNA ligase activity	"fbgn0030660,fbgn0027093,fbgn0027083"
GO:0006418	0.135	3	0.00036	0.09569	3	41	43	tRNA aminoacylation for protein translation	"fbgn0030660,fbgn0027093,fbgn0027083"
GO:0043039	0.135	3	0.00036	0.09569	3	41	43	tRNA aminoacylation	"fbgn0030660,fbgn0027093,fbgn0027083"
GO:0007113	0.032	2	0.00037	0.09569	2	11	11	endomitotic cell cycle	"fbgn0261786,fbgn0034231"
GO:0043038	0.143	3	0.00041	0.09569	3	42	44	amino acid activation	"fbgn0030660,fbgn0027093,fbgn0027083"
GO:0005719	0.043	2	0.00079	0.156444	2	11	12	nuclear euchromatin	"fbgn0002914,fbgn0065035"
GO:0070566	0.046	2	0.00088	0.156444	2	15	16	adenylyltransferase activity	"fbgn0038704,fbgn0015949"
GO:0008565	0.197	3	0.00098	0.157135455	3	73	78	protein transporter activity	"fbgn0053180,fbgn0034205,fbgn0038223"
GO:0051297	0.505	4	0.00148	0.2232775	4	70	71	centrosome organization	"fbgn0027329,fbgn0002914,fbgn0034530,fbgn0263391"
GO:0007098	0.273	3	0.002	0.261718125	3	34	35	centrosome cycle	"fbgn0002914,fbgn0034530,fbgn0263391"
GO:0031023	0.554	4	0.00221	0.261718125	4	76	77	microtubule organizing center organization	"fbgn0027329,fbgn0002914,fbgn0034530,fbgn0263391"
GO:0005372	0.161	3	0.00229	0.261718125	3	8	8	water transmembrane transporter activity	"fbgn0034883,fbgn0034882,fbgn0034885"
GO:0015250	0.161	3	0.00229	0.261718125	3	8	8	water channel activity	"fbgn0034883,fbgn0034882,fbgn0034885"
GO:0000791	0.1	2	0.0042	0.447784706	2	20	22	euchromatin	"fbgn0002914,fbgn0065035"
