Start End Chromosome RecombinationRate cM midpoint
1 100001 2L 0 0 50001
100001 200001 2L 0 0 150001
200001 300001 2L 0 0.4 250001
300001 400001 2L 0.2346 0.25 350001
400001 500001 2L 0.2346 0.05 450001
500001 600001 2L 1.9937 0.1 550001
600001 700001 2L 1.4073 0.3 650001
700001 800001 2L 1.0555 0.2 750001
800001 900001 2L 2.3455 1.65 850001
900001 1000001 2L 3.0492 27.65 950001
1000001 1100001 2L 3.401 1.3 1050001
1100001 1200001 2L 2.8146 0.371428571 1150001
1200001 1300001 2L 3.6355 41.4 1250001
1300001 1400001 2L 1.7591 3 1350001
1400001 1500001 2L 0.7037 27.75 1450001
1500001 1600001 2L 2.4628 28.2 1550001
1600001 1700001 2L 2.9319 31.6 1650001
1700001 1800001 2L 2.2282 28.2 1750001
1800001 1900001 2L 1.7591 28.25 1850001
1900001 2000001 2L 5.3947 0.883333333 1950001
2000001 2100001 2L 2.4628 0.748571429 2050001
2100001 2200001 2L 1.6419 0.993333333 2150001
2200001 2300001 2L 3.6355 1.472222222 2250001
2300001 2400001 2L 1.6419 4 2350001
2400001 2500001 2L 4.691 29.125 2450001
2500001 2600001 2L 2.5801 12.95625 2550001
2600001 2700001 2L 2.5801 5.9 2650001
2700001 2800001 2L 5.7465 7 2750001
2800001 2900001 2L 2.2282 6 2850001
2900001 3000001 2L 0.9382 14.125 2950001
3000001 3100001 2L 1.0555 7 3050001
3100001 3200001 2L 6.9192 30.5 3150001
3200001 3300001 2L 2.3455 4.833333333 3250001
3300001 3400001 2L 2.3455 9 3350001
3400001 3500001 2L 5.0428 8 3450001
3500001 3600001 2L 4.2219 9 3550001
3600001 3700001 2L 1.8764 10 3650001
3700001 3800001 2L 3.6355 8 3750001
3800001 3900001 2L 7.5056 27.23333333 3850001
3900001 4000001 2L 7.3883 45.275 3950001
4000001 4100001 2L 6.6847 6.633333333 4050001
4100001 4200001 2L 3.6355 12 4150001
4200001 4300001 2L 7.2711 10.33333333 4250001
4300001 4400001 2L 5.7465 12 4350001
4400001 4500001 2L 4.1046 9.142857143 4450001
4500001 4600001 2L 1.8764 33 4550001
4600001 4700001 2L 1.7591 15 4650001
